waveform_id,mass1,mass2,mass_ratio,spin1,chi1x,chi1y,chi1z,spin2,chi2x,chi2y,chi2z,alpha,beta,gamma,massf,spinf,chifx,chify,chifz,eccentricity
SXS:BBH:0835,0.666713822002,0.333347038764,2.0000592309866416,0.7998627653728528,-0.47928143236,-0.640136895462,0.0171612089646,3.6592985488706304e-05,3.45690959855e-06,-1.31076624968e-05,3.39894917125e-05,1.3181222494356737,1.5493394886929523,0.379492779314651,0.958842963752,0.707760683811699,-0.167914613332,-0.160436020954,0.668573220642,0.000275
SXS:BBH:0836,0.50003952907,0.500041487752,0.9999960829610184,0.7998851094958154,-0.432227461968,-0.672633257523,0.0236666513861,0.7999408488098921,-0.0468294969214,0.058367273909,0.796433061311,1.5710618085640682,1.5412044447547757,0.0936831590312612,0.936243657291,0.8211313085925231,-0.123076091302,-0.0479947317964,0.810435319702,0.0006877
SXS:BBH:0837,0.666667164277,0.333365308596,1.9998096595135613,0.8000062190611046,-0.257228297937,-0.75666292123,0.0361216958705,0.7998464706037188,-0.090936577861,0.0720381380089,0.791388287768,1.5747515025277827,1.525629202182322,0.1455571934693964,0.951177317801,0.7355179809167798,-0.137912251418,-0.165943786927,0.703156860694,0.0007289
SXS:BBH:0838,0.500045797895,0.50001406666,1.0000634606846404,0.7998327881501534,-0.564118388332,-0.565486093977,-0.0415741562078,0.7999331809625848,0.551966908144,-0.571928943695,0.0901271861471,1.557829326565532,1.6227983205370538,1.4578881896743965,0.948110212992,0.7258532415367899,-0.106574637622,-0.123510354457,0.707283512608,0.0002094
SXS:BBH:0839,0.666689144541,0.333337945133,2.000039762274873,0.7999927504718646,-0.441224751038,-0.666873059107,-0.0242784455076,0.7998944950734181,0.673299318192,-0.41186996926,0.129855149273,1.6107563706837666,1.6011493192015298,1.4077343255152968,0.957014951402,0.7089605033499513,-0.141285020562,-0.215945660935,0.660326441844,0.0003874
SXS:BBH:0840,0.666679354485,0.333386518681,1.9997189962048536,0.7999760089906005,-0.46974385536,-0.645400831512,0.0525365776928,0.7996806154035501,-0.739011002997,-0.304844338207,-0.020536639567,0.557631855968301,1.5050763367296542,1.5964802026033376,0.958657534754,0.7332217072213014,-0.224410368893,-0.138923525786,0.68407186191,
SXS:BBH:0841,0.500046130016,0.500034415883,1.000023426653502,0.7998464990830553,-0.579348812221,-0.550018379288,0.0398642486313,0.7999057630896965,0.213274809431,0.770378871982,-0.0296560127128,2.6006864450598526,1.5209357960080874,1.6078792083469595,0.950315657018,0.6900493482703449,-0.022330987474,0.0516401842028,0.687751933056,0.0005911
SXS:BBH:0842,0.666638853989,0.333361650916,1.9997466779914008,0.800110979339535,-0.395498349414,-0.694613528706,0.0356466072589,0.7999128536855478,-0.108261754602,0.790113206768,-0.0621376413508,2.488275007305349,1.526229496512738,1.648555177449058,0.959357607008,0.6849774748892126,-0.145089656618,-0.124239368252,0.65780522347,0.0004336
SXS:BBH:0843,0.666725904732,0.333382571073,1.999882305143086,0.7998456106033652,-0.499774412361,-0.623721492991,0.030822665877,0.7996970321751588,0.058092453681,-0.0925473129714,-0.792196695876,1.564115876788278,1.532251013538474,3.0045257362495743,0.960956697854,0.6654491042803661,-0.1999526296,-0.143259020931,0.61831893811,0.0001885
SXS:BBH:0844,0.50000741515,0.499996810689,1.0000212090572846,0.799935783126524,0.652731800556,-0.461574714596,0.0280577353824,0.3999511154897596,-0.0316005781536,-0.0197074498633,0.398213403418,1.5719130388552296,1.5357141462151878,0.0932519280804657,0.943052433864,0.7646776346770363,0.0351718680602,-0.125436556975,0.753498835332,0.0003615
SXS:BBH:0845,0.66674633108,0.333353509607,2.0001179284599293,0.7998173732786107,0.740569525783,-0.299768163702,0.0374653988444,0.3998675968810415,-0.0350840662639,-0.0450991696013,0.395764157335,1.5634028532306066,1.523936737557653,0.1433847640481758,0.955165946181,0.7273811739598852,0.174971390281,-0.14622993593,0.690713537331,0.000718
SXS:BBH:0846,0.500041970795,0.500000707763,1.0000825259471824,0.7998226276390129,-0.742912893194,-0.295052275554,0.027218073038,0.3999914913733526,-0.000488237058287,0.0356834812987,0.398396340292,1.5686776668608842,1.5367596189643289,0.0893377411502435,0.943685370569,0.7661270222428705,-0.130352867661,0.0398305708759,0.753904682123,0.0006012
SXS:BBH:0847,0.666688657753,0.333353901522,1.999942567670837,0.7999501940604479,-0.638413932551,-0.481024374678,0.031040532659,0.3998548762787594,-0.0196133696355,0.0554613154354,0.395503830962,1.5766743170177466,1.531983501089174,0.1476573968277109,0.956053076389,0.7261277906380137,-0.217644502051,-0.0726182565425,0.688925995939,0.0003432
