waveform_id,mass1,mass2,mass_ratio,symmetric_mass_ratio,delta,chi1z,chi2z,chi_s,chi_a,massf,chifz
SXS:BBH:0239,0.6666020009241379,0.333397999075862,1.9994181212001159,0.2222437732880735,0.3332040018482762,-0.371315271613,0.849659288808,0.03575520375389163,-0.5307942098157227,0.9630091174790618,0.554318008521
SXS:BBH:0243,0.6666292326169515,0.33337076738304855,1.9996631313836328,0.2222346988374859,0.33325846523390285,-0.128717085261,-0.8495389662,-0.36901802885612695,0.1974048853116646,0.9668936124068745,0.529185961469
SXS:BBH:0244,0.6666620864807268,0.3333379135192733,1.9999587788929418,0.2222237489298908,0.3333241729614532,-5.83816592072e-05,-0.599874721154,-0.1999999087611695,0.19992206708369095,0.9640839841837283,0.587011833544
SXS:BBH:0248,0.6666184297895231,0.33338157021047693,1.9995659309201184,0.22223829885447377,0.33323685957904614,0.128673834147,0.849670254084,0.3690407527417295,-0.19748805419358811,0.9531413166486302,0.711587466854
SXS:BBH:0252,0.6666044207078795,0.3333955792921205,1.9994398909644873,0.2222429670005919,0.33320884141575896,0.37145859092,-0.849439893697,-0.03558356661575679,0.5308154442501404,0.9586163718111391,0.69059746139
SXS:BBH:0254,0.6666617187092116,0.33333828129078835,1.9999554690439165,0.22222387151689163,0.3333234374184232,0.600021501444,-0.599900674092,0.20004150576812613,0.5999812250621515,0.9512085455332809,0.775512784747
SXS:BBH:0256,0.6666618976204799,0.33333810237952,1.9999570791983936,0.2222238118815406,0.3333237952409602,0.59992834899,0.599985848278,0.59994751569355,0.1999512274544398,0.939584404660319,0.838562812514
SXS:BBH:0257,0.6666416034608135,0.33335839653918653,1.9997744481064819,0.22223057599600896,0.3332832069216272,0.849845342039,0.84976984727,0.849820175223859,0.28326434779730575,0.9197581154599503,0.917554144526
SXS:BBH:0258,0.6666295036287598,0.3333704963712403,1.9996655699441483,0.22223460852043317,0.33325900725751934,0.871258476436,-0.849486399889,0.2976129028872664,0.864000308470494,0.943650413745301,0.841632673755
SXS:BBH:0260,0.7499518743350434,0.2500481256649566,2.9992301375612618,0.18752406051639867,0.4999037486700868,-0.850025099674,-0.849396984822,-0.849868040732555,-0.42508779273214164,0.9809527475864074,0.124471496071
SXS:BBH:0262,0.7499983792622507,0.2500016207377493,2.999974068364125,0.18750081036624786,0.49999675852450143,-0.599953930645,-4.88473555518e-05,-0.44997668753382347,-0.44995226369771,0.9780541080832736,0.270613474329
SXS:BBH:0263,0.74997944147528,0.25002055852472,2.999671090652044,0.18751027883970706,0.49995888295056,-0.60001710568,0.599845512278,-0.3000267837852081,-0.5999742038017928,0.9770877213687713,0.291156488754
SXS:BBH:0264,0.7499827858934788,0.2500172141065212,2.9997245932591845,0.18750860675693515,0.49996557178695755,-0.600035049386,-0.599833696756,-0.5999847077623943,-0.30004720818209246,0.9789212898286596,0.249532268577
